user_id,session_id,timestamp,event_type,product_id,device_type,referral_source
user_59,69d2d187-7653-438a-8ddd-9c46ebe9d8a5,2025-05-02T15:06:38.095444,remove_from_cart,prod_15,mobile,email
user_187,667397c9-94c8-438f-ad09-e42b181c2b1b,2025-06-29T10:42:23.420820,remove_from_cart,prod_38,desktop,ad
user_69,f0f5d536-3e96-4c0f-b10e-ce4ccfb36a84,2025-07-02T10:12:47.476362,purchase,prod_75,tablet,social
user_191,3d9666f8-8304-4fcd-aecf-dcd9d14d2e43,2025-01-12T04:53:22.211797,view,prod_96,mobile,ad
user_98,1f7d2a26-c5e4-4907-b486-1222e5cedb8a,2025-02-25T23:33:11.409723,view,prod_91,desktop,email
user_8,cda70ce9-a954-49e2-9872-953915a45ff2,2025-01-25T12:35:04.946349,remove_from_cart,prod_94,desktop,social
user_55,4d2d6ed7-b620-4e0e-bb48-6f13ead33a8a,2025-05-02T09:10:36.021196,view,prod_52,tablet,social
user_134,da7015cb-a3b0-4f00-9141-8acdb9c05e5e,2025-06-26T00:00:22.481821,purchase,prod_81,desktop,social
user_129,d45b639c-aca8-4bde-b890-3318cee28f08,2025-04-03T14:25:48.413920,add_to_cart,prod_100,desktop,social
user_56,b606484f-064a-4124-8a41-69f6cf547090,2025-06-29T16:52:25.831529,purchase,prod_83,desktop,organic
user_104,8cfaef87-cc40-41fc-ad56-04c7bb5660c1,2025-06-04T22:07:50.792077,purchase,prod_7,mobile,organic
user_114,75c57f6d-0727-4d44-822c-38d6fe46db02,2025-06-12T00:12:37.964547,add_to_cart,prod_45,mobile,organic
user_88,0aabc7fe-1d6c-4934-b390-1dae4649bce0,2025-04-16T23:33:19.454136,purchase,prod_59,desktop,social
user_138,36886302-cd63-4ef1-be6b-7b101afdd286,2025-07-01T10:45:18.283887,remove_from_cart,prod_21,desktop,email
user_108,e03c52a6-7e59-4098-a049-048c8f56c9db,2025-01-31T11:42:38.487134,remove_from_cart,prod_28,tablet,ad
user_23,aedcc80b-ff8e-49e9-a4e5-6adacc0fa11f,2025-03-05T04:06:20.603209,view,prod_3,mobile,social
user_144,ebec3577-941c-47e0-8814-0ef9dac5a747,2025-06-18T07:33:35.933316,view,prod_14,mobile,email
user_101,39147871-3827-4840-a777-8167d3b03e5b,2025-01-13T11:49:16.532154,purchase,prod_2,mobile,ad
user_144,0fddd89f-d46f-4254-aff0-f0c2ea114b7f,2025-01-27T02:18:50.348129,remove_from_cart,prod_29,desktop,social
user_56,cbbfd548-a017-4669-992b-0d1ade9b93f2,2025-02-23T07:06:04.107723,remove_from_cart,prod_18,tablet,ad
user_108,905efb7b-b0f6-4a6c-b8eb-7814923c9828,2025-05-10T09:39:34.147297,add_to_cart,prod_37,tablet,organic
user_95,8b0be2fc-6ca7-4d79-945e-1f0a79f94616,2025-02-06T22:44:51.520611,view,prod_45,desktop,organic
user_6,acd68335-98c2-4f79-9b9f-04e6a0c9ff13,2025-02-21T22:17:16.942916,remove_from_cart,prod_45,desktop,organic
user_30,326a095f-09d6-420b-9d7d-4d794b975d3d,2025-02-10T13:01:24.907435,purchase,prod_24,tablet,email
user_191,8b56bc85-a41d-4421-8f2e-dddf13b3145b,2025-03-23T23:53:56.312084,remove_from_cart,prod_46,tablet,organic
user_129,010e6a50-4e24-45b3-8efb-2302ceba5b32,2025-05-14T12:38:13.119346,view,prod_12,mobile,email
user_51,0f2f0c9d-f3ab-42a0-9cbc-a55b30e5c64d,2025-02-25T18:38:27.862335,purchase,prod_53,desktop,organic
user_106,5041bdb6-215d-45af-b185-759e51c93dcc,2025-07-06T03:20:02.598940,view,prod_45,mobile,organic
user_89,fa873b05-344b-468d-b263-92437121a2ae,2025-02-28T23:23:42.645426,remove_from_cart,prod_32,tablet,organic
user_127,f51b6731-c7bb-4fc7-8eb3-d6e45236d195,2025-05-03T09:45:32.903208,remove_from_cart,prod_18,mobile,email
user_46,e3175146-25a7-4fe9-a4af-1353653e75d0,2025-03-31T09:41:03.020164,remove_from_cart,prod_13,tablet,ad
user_121,a2c9b7e4-88e3-4767-aa5e-31b39ec871f1,2025-06-23T23:55:02.403425,view,prod_4,tablet,email
user_149,d3fdc3a3-9076-4c60-ba4e-6428dcfda1a3,2025-06-14T15:44:34.889203,purchase,prod_23,mobile,social
user_99,bfeb11d4-2d04-4189-aec0-fb916a7fbdf0,2025-02-26T23:33:10.561305,remove_from_cart,prod_62,desktop,social
user_166,a7e4cb31-dc69-4580-87b2-57b96ccbdf8c,2025-04-08T14:31:21.134767,remove_from_cart,prod_54,mobile,email
user_69,3eef2e16-d89d-4783-a813-3f20c41b4351,2025-05-27T00:43:40.412699,remove_from_cart,prod_74,mobile,email
user_63,f46c7839-e869-4c82-b00b-8033272ed032,2025-02-20T17:20:06.274233,add_to_cart,prod_55,desktop,ad
user_50,5f9b63cd-283c-42a3-8bbe-55f472bbae98,2025-02-08T11:09:59.408130,add_to_cart,prod_69,desktop,email
user_12,a375197e-dc00-4b76-a458-8cc4570222a8,2025-06-03T13:38:34.296731,purchase,prod_40,mobile,organic
user_69,35a7a968-dc1d-4750-bc71-8b87f5f3f175,2025-01-10T08:25:54.385823,view,prod_14,tablet,ad
user_73,c2a3b569-2e0c-4b07-8139-a37ed5b264ae,2025-02-20T12:53:04.877136,remove_from_cart,prod_98,mobile,email
